id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden	unidad_medida	ind_inventarios	costo_m_obra	costo_indirecto	costo_total	ind_inventarios_entrada
01	PTGR174	23/12/1999 00:00:00	13934	P	13933	14400.00	8.00	IBPC	07/01/2000 08:40:32:72	S	5379368.050	14316.000	375.760						
01	PTCI161	23/12/1999 00:00:00	13927	P	13926	12600.00	7.00	IBPC	07/01/2000 08:40:30:8	S	4795055.510	12528.000	382.750						
01	PTGR155	23/12/1999 00:00:00	13922	P	13921	48600.00	27.00	IBPC	07/01/2000 08:40:29:81	S	18691425.680	48315.000	386.870						
01	PTGR152	23/12/1999 00:00:00	13938	P	13937	5400.00	3.00	IBPC	07/01/2000 08:40:33:76	S	2072117.640	5373.000	385.650						
01	PTGR134	23/12/1999 00:00:00	13921	P	13920	28000.00	20.00	IBPC	07/01/2000 08:40:29:59	S	10877007.880	27851.000	390.540						
01	PTCI190	23/12/1999 00:00:00	13928	P	13927	4000.00	4.00	IBPC	07/01/2000 08:40:31:18	S	1186694.630	3977.000	298.390						
01	PTGR162	23/12/1999 00:00:00	13939	P	13938	160200.00	89.00	IBPC	07/01/2000 08:40:33:98	S	61094009.480	159348.000	383.400						
01	PTGR150	23/12/1999 00:00:00	13932	C		23400.00	13.00	IBPC	07/01/2000 08:40:50:62	N	496951.610	157.090	3163.480						
01	PTRP155	23/12/1999 00:00:00	13931	C		7200.00	4.00	IBPC	07/01/2000 08:40:50:57	N	102064.910	47.260	2159.650						
01	PTGR176	23/12/1999 00:00:00	13935	C		16200.00	9.00	IBPC	07/01/2000 08:40:50:79	N	338035.550	103.270	3273.320						
01	PTGR162	23/12/1999 00:00:00	13939	C		160200.00	89.00	IBPC	07/01/2000 08:40:51:01	N	3537239.440	1119.620	3159.320						
01	PTRP134	23/12/1999 00:00:00	13930	P	13929	15400.00	11.00	IBPC	07/01/2000 08:40:31:56	S	5986268.600	15327.000	390.570						
01	PTRL153	23/12/1999 00:00:00	13926	P	13925	1800.00	1.00	IBPC	07/01/2000 08:40:30:58	S	687526.900	1787.000	384.740						
01	PTCI170	23/12/1999 00:00:00	13929	P	13928	3600.00	2.00	IBPC	07/01/2000 08:40:31:34	S	1352312.770	3585.000	377.210						
01	PTGR152	23/12/1999 00:00:00	13938	C		5400.00	3.00	IBPC	07/01/2000 08:40:50:95	N	117095.480	37.330	3136.770						
01	PTGR130	23/12/1999 00:00:00	13937	P	13936	23800.00	17.00	IBPC	07/01/2000 08:40:33:54	S	9290575.520	23701.000	391.990						
01	PTCI170	23/12/1999 00:00:00	13929	C		3600.00	2.00	IBPC	07/01/2000 08:40:50:46	N	73001.110	22.980	3176.720						
01	PTRL153	23/12/1999 00:00:00	13926	C		1800.00	1.00	IBPC	07/01/2000 08:40:50:35	N	54015.140	12.500	4321.210						
01	PTGR150	23/12/1999 00:00:00	13932	P	13931	23400.00	13.00	IBPC	07/01/2000 08:40:32:17	S	9019183.510	23259.000	387.770						
01	PTGR155	23/12/1999 00:00:00	13933	P	13932	18000.00	10.00	IBPC	07/01/2000 08:40:32:39	S	6921460.960	17891.000	386.870						
01	PTRP155	23/12/1999 00:00:00	13931	P	13930	7200.00	4.00	IBPC	07/01/2000 08:40:31:95	S	2770519.300	7159.000	387.000						
01	PTGR176	23/12/1999 00:00:00	13935	P	13934	16200.00	9.00	IBPC	07/01/2000 08:40:32:94	S	6146456.750	16117.000	381.360						
01	PTGR155	23/12/1999 00:00:00	13922	C		48600.00	27.00	IBPC	07/01/2000 08:40:50:13	N	688938.130	319.030	2159.480						
01	PTGR134	23/12/1999 00:00:00	13921	C		28000.00	20.00	IBPC	07/01/2000 08:40:50:13	N	373931.130	194.020	1927.280						
01	PTGR120	23/12/1999 00:00:00	13936	P	13935	3600.00	2.00	IBPC	07/01/2000 08:40:33:16	S	1478108.810	3579.000	412.990						
