id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden
01	PTCI180	16/07/1998 00:00:00	8535	C		9000.00	5.00	ERSS	24/08/1998 13:47:54:72	N	137541.517	56.435	2437.170
01	PTRL141	16/07/1998 00:00:00	8534	C		3600.00	2.00	ERSS	24/08/1998 13:47:54:34	N	72647.368	23.120	3142.190
01	PTCI160	16/07/1998 00:00:00	8542	P	8541	19800.00	11.00	ERSS	24/08/1998 13:47:33:35	S	6391020.750	19675.000	324.830
01	PTCI150	16/07/1998 00:00:00	8538	P	8537	25200.00	14.00	ERSS	24/08/1998 13:47:30:72	S	8242870.410	25051.000	329.040
01	PTCI151	16/07/1998 00:00:00	8539	C		27000.00	15.00	ERSS	24/08/1998 13:47:56:42	N	488505.770	185.115	2638.930
01	PTGR150	16/07/1998 00:00:00	8547	P	8546	37800.00	21.00	ERSS	24/08/1998 13:47:36:82	S	12396136.550	37546.000	330.160
01	PTCI120	16/07/1998 00:00:00	8537	C		12600.00	7.00	ERSS	24/08/1998 13:47:55:6	N	289748.453	98.602	2938.570
01	PTRP155	16/07/1998 00:00:00	8532	C		36000.00	20.00	ERSS	24/08/1998 13:47:53:51	N	607493.080	224.400	2707.190
01	PTCI180	16/07/1998 00:00:00	8535	P	8534	9000.00	5.00	ERSS	24/08/1998 13:47:28:85	S	2776525.010	8955.000	310.050
01	PTRL141	16/07/1998 00:00:00	8534	P	8533	3600.00	2.00	ERSS	24/08/1998 13:47:28:25	S	1131719.430	3576.000	316.480
01	PTGR120	16/07/1998 00:00:00	8548	C		5400.00	3.00	ERSS	24/08/1998 13:48:00:1	N	124177.909	42.258	2624.940
01	PTGR174	16/07/1998 00:00:00	8544	C		16200.00	9.00	ERSS	24/08/1998 13:47:58:46	N	279649.818	102.780	2720.860
01	PTGR130	16/07/1998 00:00:00	8545	C		7000.00	5.00	ERSS	24/08/1998 13:47:58:9	N	163263.940	57.510	2838.880
01	PTRP155	16/07/1998 00:00:00	8532	P	8531	36000.00	20.00	ERSS	24/08/1998 13:47:27:04	S	11416012.700	35826.000	318.650
01	PTGR174	16/07/1998 00:00:00	8544	P	8543	16200.00	9.00	ERSS	24/08/1998 13:47:34:51	S	5012123.280	16116.000	311.000
01	PTCI120	16/07/1998 00:00:00	8537	P	8536	12600.00	7.00	ERSS	24/08/1998 13:47:00	S	4241471.240	12517.000	338.860
01	PTCI151	16/07/1998 00:00:00	8539	P	8538	27000.00	15.00	ERSS	24/08/1998 13:47:31:32	S	8886876.400	26885.000	330.550
01	PTGR130	16/07/1998 00:00:00	8546	P	8545	4200.00	3.00	ERSS	24/08/1998 13:47:35:66	S	1263555.190	4171.000	302.940
01	PTGR120	16/07/1998 00:00:00	8548	P	8547	5400.00	3.00	ERSS	24/08/1998 13:47:37:97	S	1813458.660	5356.000	330.160
01	PTRL173	16/07/1998 00:00:00	8536	P	8535	1800.00	1.00	ERSS	24/08/1998 13:47:29:46	S	574029.650	1791.000	320.510
01	PTRP134	16/07/1998 00:00:00	8531	P	8530	28000.00	20.00	ERSS	24/08/1998 13:47:26:1	S	8577235.780	27867.000	307.790
01	PTRP134	16/07/1998 00:00:00	8531	C		28000.00	20.00	ERSS	24/08/1998 13:47:53:18	N	475506.040	187.400	2537.390
01	PTGR150	16/07/1998 00:00:00	8547	C		37800.00	21.00	ERSS	24/08/1998 13:47:59:72	N	695165.653	264.831	2624.940
01	PTCI111	16/07/1998 00:00:00	8533	C		1800.00	1.00	ERSS	24/08/1998 13:47:53:95	N	34497.557	12.104	2850.100
01	PTRL173	16/07/1998 00:00:00	8536	C		1800.00	1.00	ERSS	24/08/1998 13:47:55:11	N	41829.964	11.727	3566.980
01	PTCI165	16/07/1998 00:00:00	8541	P	8540	3600.00	2.00	ERSS	24/08/1998 13:47:32:64	S	1158100.210	3575.000	323.940
01	PTGR162	16/07/1998 00:00:00	8543	C		48600.00	27.00	ERSS	24/08/1998 13:47:58:07	N	888139.413	326.997	2716.050
01	PTCI150	16/07/1998 00:00:00	8538	C		25200.00	14.00	ERSS	24/08/1998 13:47:56:04	N	463443.769	176.554	2624.940
01	PTGR162	16/07/1998 00:00:00	8543	P	8542	48600.00	27.00	ERSS	24/08/1998 13:47:33:9	S	15721610.520	48294.000	325.540
01	PTCI164	16/07/1998 00:00:00	8540	C		9000.00	5.00	ERSS	24/08/1998 13:47:56:81	N	146612.279	53.855	2722.350
01	PTGR176	17/07/1998 00:00:00	8564	P	8563	21600.00	12.00	ERSS	24/08/1998 13:49:30:13	S	6857507.750	21445.000	330.220
01	PTCI160	17/07/1998 00:00:00	8549	C		5400.00	3.00	ERSS	24/08/1998 13:49:46:11	N	92696.559	34.773	2665.760
01	PTGR176	17/07/1998 00:00:00	8560	P	8559	10800.00	6.00	ERSS	24/08/1998 13:49:27:76	S	3428975.950	10715.000	320.020
01	PTRL154	17/07/1998 00:00:00	8553	C		3600.00	2.00	ERSS	24/08/1998 13:49:48:03	N	89568.350	25.534	3507.810
01	PTGR162	17/07/1998 00:00:00	8559	C		57600.00	32.00	ERSS	24/08/1998 13:49:50:56	N	1052500.551	387.552	2715.770
01	PTRL172	17/07/1998 00:00:00	8551	C		12600.00	7.00	ERSS	24/08/1998 13:49:46:93	N	292783.227	82.089	3566.660
01	PTGR150	17/07/1998 00:00:00	8563	P	8562	27000.00	15.00	ERSS	24/08/1998 13:49:29:58	S	8855747.030	26818.000	330.220
01	PTGR176	17/07/1998 00:00:00	8564	C		21600.00	12.00	ERSS	24/08/1998 13:49:53:03	N	371727.927	144.732	2624.640
01	PTRP155	17/07/1998 00:00:00	8556	C		27000.00	15.00	ERSS	24/08/1998 13:49:49:3	N	455597.076	168.300	2707.050
01	PTCI160	17/07/1998 00:00:00	8557	P	8556	30600.00	17.00	ERSS	24/08/1998 13:49:24:69	S	9880510.720	30415.000	324.860
01	PTGR152	17/07/1998 00:00:00	8562	P	8561	21600.00	12.00	ERSS	24/08/1998 13:49:28:97	S	7113681.940	21468.000	331.360
01	PTRP156	17/07/1998 00:00:00	8552	C		7200.00	4.00	ERSS	24/08/1998 13:49:47:43	N	156592.554	48.480	3230.040
01	PTRP156	17/07/1998 00:00:00	8552	P	8551	7200.00	4.00	ERSS	24/08/1998 13:49:20:9	S	2278801.340	7153.000	318.580
01	PTCI151	17/07/1998 00:00:00	8554	P	8553	18000.00	10.00	ERSS	24/08/1998 13:49:22:88	S	5929705.000	17876.000	331.710
01	PTRP174	17/07/1998 00:00:00	8555	C		18000.00	10.00	ERSS	24/08/1998 13:49:48:91	N	310706.864	114.200	2720.730
01	PTRP155	17/07/1998 00:00:00	8556	P	8555	27000.00	15.00	ERSS	24/08/1998 13:49:24:08	S	8552990.680	26814.000	318.970
01	PTCI151	17/07/1998 00:00:00	8554	C		18000.00	10.00	ERSS	24/08/1998 13:49:48:47	N	325647.779	123.410	2638.750
01	PTRP134	17/07/1998 00:00:00	8558	C		9800.00	7.00	ERSS	24/08/1998 13:49:50:12	N	166414.737	65.590	2537.200
01	PTGR150	17/07/1998 00:00:00	8563	C		27000.00	15.00	ERSS	24/08/1998 13:49:52:59	N	496490.060	189.165	2624.640
01	PTCI160	17/07/1998 00:00:00	8557	C		30600.00	17.00	ERSS	24/08/1998 13:49:49:68	N	525280.503	197.047	2665.760
01	PTCI171	17/07/1998 00:00:00	8550	P	8549	1800.00	1.00	ERSS	24/08/1998 13:49:19:69	S	569557.700	1787.000	318.720
01	PTGR152	17/07/1998 00:00:00	8561	P	8560	23400.00	13.00	ERSS	24/08/1998 13:49:28:37	S	7705106.880	23255.000	331.330
01	PTGR176	17/07/1998 00:00:00	8560	C		10800.00	6.00	ERSS	24/08/1998 13:49:51:27	N	225960.130	71.286	3169.770
01	PTCI160	17/07/1998 00:00:00	8549	P	8548	5400.00	3.00	ERSS	24/08/1998 13:49:18:98	S	1742899.150	5363.000	324.990
01	PTRL172	17/07/1998 00:00:00	8551	P	8550	12600.00	7.00	ERSS	24/08/1998 13:49:20:29	S	4051745.920	12523.000	323.540
01	PTGR152	17/07/1998 00:00:00	8561	C		23400.00	13.00	ERSS	24/08/1998 13:49:51:71	N	432656.968	158.613	2727.750
01	PTCI171	17/07/1998 00:00:00	8550	C		1800.00	1.00	ERSS	24/08/1998 13:49:46:55	N	28392.639	11.221	2530.310
01	PTRP134	17/07/1998 00:00:00	8558	P	8557	9800.00	7.00	ERSS	24/08/1998 13:49:25:29	S	2999293.270	9750.000	307.620
01	PTGR162	17/07/1998 00:00:00	8559	P	8558	57600.00	32.00	ERSS	24/08/1998 13:49:26:01	S	18623723.160	57211.000	325.530
01	PTGR152	17/07/1998 00:00:00	8562	C		21600.00	12.00	ERSS	24/08/1998 13:49:52:15	N	399375.663	146.412	2727.750
01	PTRL154	17/07/1998 00:00:00	8553	P	8552	3600.00	2.00	ERSS	24/08/1998 13:49:22:05	S	1183061.600	3579.000	330.560
01	PTRP174	17/07/1998 00:00:00	8555	P	8554	18000.00	10.00	ERSS	24/08/1998 13:49:23:48	S	5570558.210	17936.000	310.580
01	PTCI165	18/07/1998 00:00:00	8568	P	8567	7200.00	4.00	ERSS	24/08/1998 13:51:25:91	S	2319825.010	7156.000	325.550
01	PTGR155	18/07/1998 00:00:00	8565	P	8564	19800.00	11.00	ERSS	24/08/1998 13:51:24:15	S	6269287.010	19674.000	318.660
01	PTRP134	18/07/1998 00:00:00	8566	C		18200.00	13.00	ERSS	24/08/1998 13:51:39:7	N	309055.939	121.810	2537.200
01	PTRP134	18/07/1998 00:00:00	8566	P	8565	18200.00	13.00	ERSS	24/08/1998 13:51:24:76	S	5572048.480	18105.000	307.760
01	PTCI165	18/07/1998 00:00:00	8568	C		7200.00	4.00	ERSS	24/08/1998 13:51:40:52	N	112659.072	43.844	2531.970
01	PTGR155	18/07/1998 00:00:00	8565	C		19800.00	11.00	ERSS	24/08/1998 13:51:39:37	N	336530.022	123.420	2726.710
01	PTCI161	18/07/1998 00:00:00	8567	P	8566	41400.00	23.00	ERSS	24/08/1998 13:51:25:31	S	13391870.990	41136.000	325.550
01	PTCI161	18/07/1998 00:00:00	8567	C		41400.00	23.00	ERSS	24/08/1998 13:51:40:14	N	654041.840	258.313	2531.970
01	PTGR130	21/07/1998 00:00:00	8570	P	8569	2800.00	2.00	ERSS	24/08/1998 13:52:59:01	S	841590.810	2781.000	302.620
01	PTRP156	21/07/1998 00:00:00	8573	P	8572	18000.00	10.00	ERSS	24/08/1998 13:53:01:15	S	5704190.330	17893.000	318.790
01	PTGR120	21/07/1998 00:00:00	8580	C		16200.00	9.00	ERSS	24/08/1998 13:53:37:07	N	372506.445	126.774	2938.350
01	PTCI150	21/07/1998 00:00:00	8576	P	8575	18000.00	10.00	ERSS	24/08/1998 13:53:03:13	S	5902730.240	17877.000	330.190
01	PTCI170	21/07/1998 00:00:00	8577	C		10800.00	6.00	ERSS	24/08/1998 13:53:35:75	N	173164.836	68.706	2520.370
01	PTCI170	21/07/1998 00:00:00	8577	P	8576	10800.00	6.00	ERSS	24/08/1998 13:53:03:84	S	3417804.620	10733.000	318.440
01	PTRP192	21/07/1998 00:00:00	8575	C		2800.00	2.00	ERSS	24/08/1998 13:53:34:93	N	53902.786	18.072	2982.670
01	PTGR170	21/07/1998 00:00:00	8584	C		16200.00	9.00	ERSS	24/08/1998 13:53:38:72	N	259747.254	103.059	2472.560
