id_empresa	id_formula	fecha	cant_producida	n_batches	cant_m_prima_usada	costo_m_prima_usada	costo_unitario_diario	id_usuario	fec_registro
01	PTGR152	23/07/1998 00:00:00	32400.000	18.000	32457.618	11220771.211	345.710	ERSS	24/08/1998 13:58:04:45
01	PTRP155	24/07/1998 00:00:00	7200.000	4.000	7208.880	2408523.912	334.110	ERSS	24/08/1998 13:59:46:12
01	PTCI161	24/07/1998 00:00:00	36000.000	20.000	36047.620	12205785.625	338.600	ERSS	24/08/1998 13:59:45:51
01	PTRL153	24/07/1998 00:00:00	3600.000	2.000	3603.294	1287860.655	357.410	ERSS	24/08/1998 13:59:45:9
01	PTCI150	24/07/1998 00:00:00	27000.000	15.000	27027.165	9327339.589	345.110	ERSS	24/08/1998 13:59:45:4
01	PTGR150	24/07/1998 00:00:00	43200.000	24.000	43213.664	14912638.618	345.090	ERSS	24/08/1998 13:59:45:68
01	PTCI165	24/07/1998 00:00:00	7200.000	4.000	7203.844	2434417.682	337.930	ERSS	24/08/1998 13:59:45:62
01	PTCI164	24/07/1998 00:00:00	7200.000	4.000	7202.084	2438353.189	338.560	ERSS	24/08/1998 13:59:45:57
01	PTRL173	24/07/1998 00:00:00	1800.000	1.000	1803.727	616237.025	341.650	ERSS	24/08/1998 13:59:46:06
01	PTRL172	24/07/1998 00:00:00	5400.000	3.000	5416.181	1860497.916	343.510	ERSS	24/08/1998 13:59:46:01
01	PTRP134	24/07/1998 00:00:00	16800.000	12.000	16820.440	5434045.008	323.060	ERSS	24/08/1998 13:59:46:12
01	PTGR162	24/07/1998 00:00:00	54000.000	30.000	54069.330	18420906.575	340.690	ERSS	24/08/1998 13:59:45:79
01	PTGR152	24/07/1998 00:00:00	41400.000	23.000	41451.623	14345422.037	346.080	ERSS	24/08/1998 13:59:45:73
01	PTRL154	24/07/1998 00:00:00	7200.000	4.000	7216.068	2537940.636	351.710	ERSS	24/08/1998 13:59:45:95
01	PTGR176	24/07/1998 00:00:00	32400.000	18.000	32439.098	10839276.357	334.140	ERSS	24/08/1998 13:59:45:84
01	PTCI151	24/07/1998 00:00:00	27000.000	15.000	27053.115	9371944.878	346.430	ERSS	24/08/1998 13:59:45:46
01	PTGR162	25/07/1998 00:00:00	14400.000	8.000	14404.888	4906567.292	340.620	ERSS	24/08/1998 14:01:29:27
01	PTRP134	25/07/1998 00:00:00	11200.000	8.000	11216.960	3623566.719	323.040	ERSS	24/08/1998 14:01:29:38
01	PTGR152	25/07/1998 00:00:00	27000.000	15.000	27044.015	9359407.731	346.080	ERSS	24/08/1998 14:01:29:21
01	PTGR170	25/07/1998 00:00:00	16200.000	9.000	16210.059	5380494.660	331.920	ERSS	24/08/1998 14:01:29:32
01	PTCI161	25/07/1998 00:00:00	19800.000	11.000	19829.541	6715228.882	338.650	ERSS	24/08/1998 14:01:29:16
01	PTRP155	25/07/1998 00:00:00	36000.000	20.000	36019.400	12063876.994	334.930	ERSS	24/08/1998 14:01:29:43
01	PTCI160	25/07/1998 00:00:00	18000.000	10.000	18011.510	6160394.349	342.030	ERSS	24/08/1998 14:01:29:1
01	PTCI160	27/07/1998 00:00:00	12600.000	7.000	12614.857	4315600.701	342.100	ERSS	24/08/1998 14:05:20:34
