id_empresa	cod_granja	id_semana	id_mes	id_year	cod_formula	bultos	kilos	costo	f_inicio	f_fin	id_usuario	fec_registro
01	020	2	6	1998	PTGR170	150	6000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:14:07:88
01	044	2	6	1998	PTRL153	245	9800	3039764.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:00:02:85
01	019	2	6	1998	PTGR176	1200	48000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:22:10:29
01	017	2	6	1998	MAMP060	2	80	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:59:12:21
01	032	2	6	1998	PTGR120	385	15400	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:18:22:24
01	014	2	6	1998	PTRP191	15	600	167772.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:58:21:57
01	036	2	6	1998	PTCI130	360	14400	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:19:54:4
01	251	2	6	1998	PTCI160	550	22000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:10:57:29
01	051	2	6	1998	PTRP191	75	3000	838860.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:55:10:15
01	016	2	6	1998	PTRP192	54	2160	616248.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:37:12:73
01	057	2	6	1998	MAMP060	3	120	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:34:49:47
01	049	2	6	1998	PTCI180	560	22400	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:16:16:57
01	019	2	6	1998	PTGR190	450	18000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:20:30:93
01	023	2	6	1998	PTGR150	2800	112000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:26:40:69
01	046	2	6	1998	PTRP134	720	28800	8688384.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:37:03:21
01	066	2	6	1998	PTRP192	12	480	136944.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:38:44:79
01	019	2	6	1998	PTGR162	5600	224000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:21:05:48
01	042	2	6	1998	PTRP191	50	2000	559240.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:53:43:31
01	014	2	6	1998	PTRP174	230	9200	2697716.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 17:58:11:9
01	023	2	6	1998	PTCI150	200	8000	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:31:10:37
01	056	2	6	1998	PTCI161	570	22800	0	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:03:48:37
01	039	2	6	1998	PTRP134	650	26000	7843680.00	08/06/1998 00:00:00	13/06/1998 00:00:00	JEM	04/06/1998 18:36:12:74
